SceneName,SceneCode,BackgroundPrompt,RouteFit,SafetyBlock,PromptV1,approved_flag,usage_tags
Raya Kampung,SCN_RAYA_KAMPUNG,"Background: traditional Malay wooden kampung house facade decorated with Hari Raya pelita oil lamps and colorful ketupat bunting, red laterite soil courtyard, warm late afternoon golden light, shallow depth of field, soft bokeh",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Raya Kampung. traditional Malay wooden kampung house facade decorated with Hari Raya pelita oil lamps and colorful ketupat bunting, red laterite soil courtyard, warm late afternoon golden light, shallow depth of field, soft bokeh. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,raya|kampung|festive|traditional
Dapur Kampung Kayu,SCN_DAPUR_KAMPUNG_KAYU,"Background: rustic Malay kampung wooden kitchen interior, aged teak cabinets, terracotta tile floor, woven rattan baskets on shelves, morning soft light filtering through louvred wooden windows, warm amber tones, soft bokeh",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Dapur Kampung Kayu. rustic Malay kampung wooden kitchen interior, aged teak cabinets, terracotta tile floor, woven rattan baskets on shelves, morning soft light filtering through louvred wooden windows, warm amber tones, soft bokeh. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,kampung|kitchen|rustic|indoor
Sawah Padi Golden Hour,SCN_SAWAH_PADI_GOLDEN_HOUR,"Background: lush green paddy field at golden hour, neat rows of rice plants glowing amber, thin morning mist over the field, blue sky with soft clouds, wide open rural landscape, cinematic natural light",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Sawah Padi Golden Hour. lush green paddy field at golden hour, neat rows of rice plants glowing amber, thin morning mist over the field, blue sky with soft clouds, wide open rural landscape, cinematic natural light. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|rural|golden-hour|nature
Pantai Sunset,SCN_PANTAI_SUNSET,"Background: pristine white sand beach at sunset, calm turquoise water, silhouetted coconut palms, warm orange and pink gradient sky, soft golden lens flare, shallow bokeh",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Pantai Sunset. pristine white sand beach at sunset, calm turquoise water, silhouetted coconut palms, warm orange and pink gradient sky, soft golden lens flare, shallow bokeh. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|beach|sunset|nature
Cafe Minimalis Moden,SCN_CAFE_MINIMALIS_MODEN,"Background: modern minimalist cafe interior, white-washed brick walls, blonde wood furniture, trailing pothos plants, warm Edison bulb pendant lighting, marble tabletop partially visible, soft creamy bokeh",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Cafe Minimalis Moden. modern minimalist cafe interior, white-washed brick walls, blonde wood furniture, trailing pothos plants, warm Edison bulb pendant lighting, marble tabletop partially visible, soft creamy bokeh. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,cafe|modern|indoor|lifestyle
Pasar Ramadan Malam,SCN_PASAR_RAMADAN_MALAM,"Background: vibrant Ramadan night bazaar at dusk, colorful food stalls with warm tungsten lighting, string lights strung overhead, festive crowd blurred in soft bokeh behind, warm glowing ambiance",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Pasar Ramadan Malam. vibrant Ramadan night bazaar at dusk, colorful food stalls with warm tungsten lighting, string lights strung overhead, festive crowd blurred in soft bokeh behind, warm glowing ambiance. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,ramadan|bazaar|night|festive
Taman Bunga Tropika,SCN_TAMAN_BUNGA_TROPIKA,"Background: tropical garden pathway lined with bright hibiscus and bougainvillea, dappled sunlight through tree canopy, lush soft green bokeh, natural outdoor portrait light",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Taman Bunga Tropika. tropical garden pathway lined with bright hibiscus and bougainvillea, dappled sunlight through tree canopy, lush soft green bokeh, natural outdoor portrait light. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|garden|tropical|nature
Ruang Tamu Rumah Melayu Moden,SCN_RUANG_TAMU_RUMAH_MELAYU_MODEN,"Background: modern Malay home living room, neutral beige walls, rattan accent chairs, large leafy indoor monstera plants, sheer white curtains with soft natural daylight, warm clean tones",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Ruang Tamu Rumah Melayu Moden. modern Malay home living room, neutral beige walls, rattan accent chairs, large leafy indoor monstera plants, sheer white curtains with soft natural daylight, warm clean tones. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,home|living-room|modern|indoor
Rooftop Bandar Malam,SCN_ROOFTOP_BANDAR_MALAM,"Background: urban rooftop terrace at blue hour, softly bokeh-blurred city skyline behind, warm string lights strung across the space, smooth concrete floor, modern metropolitan aesthetic",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Rooftop Bandar Malam. urban rooftop terrace at blue hour, softly bokeh-blurred city skyline behind, warm string lights strung across the space, smooth concrete floor, modern metropolitan aesthetic. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,urban|rooftop|night|modern
Balai Raya Tradisional,SCN_BALAI_RAYA_TRADISIONAL,"Background: traditional community hall interior, polished grey cement floor, sturdy wooden pillars, natural daylight from open sides, simple authentic neutral tones, no furniture",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Balai Raya Tradisional. traditional community hall interior, polished grey cement floor, sturdy wooden pillars, natural daylight from open sides, simple authentic neutral tones, no furniture. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,community|hall|traditional|indoor
Kedai Kopi Vintage,SCN_KEDAI_KOPI_VINTAGE,"Background: retro Malay kopitiam interior, dark wooden tables and chairs, vintage enamel tin signs on wall, slow ceiling fans, warm yellow incandescent lighting, shallow bokeh",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Kedai Kopi Vintage. retro Malay kopitiam interior, dark wooden tables and chairs, vintage enamel tin signs on wall, slow ceiling fans, warm yellow incandescent lighting, shallow bokeh. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,kopitiam|vintage|retro|indoor
Tepi Tasik Pagi,SCN_TEPI_TASIK_PAGI,"Background: serene lakeside at dawn, glassy mirror-like water surface reflection, soft morning mist hovering above water, lush green trees framing the sides, diffused cool-warm light",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Tepi Tasik Pagi. serene lakeside at dawn, glassy mirror-like water surface reflection, soft morning mist hovering above water, lush green trees framing the sides, diffused cool-warm light. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|lake|morning|nature
White Studio Bersih,SCN_WHITE_STUDIO_BERSIH,"Background: clean professional photography studio with white seamless paper backdrop, even soft-box lighting, minimal shadowless setup, pure white tones",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: White Studio Bersih. clean professional photography studio with white seamless paper backdrop, even soft-box lighting, minimal shadowless setup, pure white tones. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,studio|white|clean|product
Mall Moden Terang,SCN_MALL_MODEN_TERANG,"Background: bright modern shopping mall interior, polished white marble floors, natural light from skylights above, neutral commercial aesthetic, blurred shopfront bokeh in background",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Mall Moden Terang. bright modern shopping mall interior, polished white marble floors, natural light from skylights above, neutral commercial aesthetic, blurred shopfront bokeh in background. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,mall|modern|commercial|indoor
Kolam Villa Tropika,SCN_KOLAM_VILLA_TROPIKA,"Background: luxury tropical villa pool terrace, edge of turquoise infinity pool, lush palm trees, bright blue sky, warm sunlight glimmering on water surface",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Kolam Villa Tropika. luxury tropical villa pool terrace, edge of turquoise infinity pool, lush palm trees, bright blue sky, warm sunlight glimmering on water surface. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,villa|pool|luxury|outdoor
Warung Kampung Tepi Jalan,SCN_WARUNG_KAMPUNG_TEPI_JALAN,"Background: humble roadside Malay village warung, red plastic chairs, zinc corrugated roof, potted plants at entrance, honest midday natural light, authentic everyday Malaysian setting",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Warung Kampung Tepi Jalan. humble roadside Malay village warung, red plastic chairs, zinc corrugated roof, potted plants at entrance, honest midday natural light, authentic everyday Malaysian setting. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,warung|kampung|everyday|outdoor
Pintu Gerbang Banglo,SCN_PINTU_GERBANG_BANGLO,"Background: modern bungalow driveway entrance, manicured landscaped front garden, warm pathway light, evening blue-hour ambiance, soft bokeh of green foliage",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Pintu Gerbang Banglo. modern bungalow driveway entrance, manicured landscaped front garden, warm pathway light, evening blue-hour ambiance, soft bokeh of green foliage. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,home|bungalow|evening|outdoor
Hutan Tropika,SCN_HUTAN_TROPIKA,"Background: lush tropical rainforest trail, dense green canopy overhead, shafts of golden sunlight piercing through leaves, light mist in background, cinematic natural light",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Hutan Tropika. lush tropical rainforest trail, dense green canopy overhead, shafts of golden sunlight piercing through leaves, light mist in background, cinematic natural light. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|forest|tropical|nature
Padang Hijau Terbuka,SCN_PADANG_HIJAU_TERBUKA,"Background: open manicured green lawn, fresh morning light, light breeze visible in grass, clear blue sky with scattered soft clouds, wide serene natural landscape",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Padang Hijau Terbuka. open manicured green lawn, fresh morning light, light breeze visible in grass, clear blue sky with scattered soft clouds, wide serene natural landscape. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,outdoor|field|morning|nature
Dapur Moden Open-Plan,SCN_DAPUR_MODEN_OPEN_PLAN,"Background: contemporary open-plan kitchen with white marble island counter, black pendant lights, large monstera leaf plant on counter, warm morning light flooding in from full-length glass windows",IMAGE+VIDEO_SUPPORT|IMAGE+SELLING_POSTER|VIDEO+IMAGE_REFERENCE,STANDARD_SCENE_SAFETY_BLOCK,"Create a photorealistic empty background scene reference plate for commercial compositing. Scene: Dapur Moden Open-Plan. contemporary open-plan kitchen with white marble island counter, black pendant lights, large monstera leaf plant on counter, warm morning light flooding in from full-length glass windows. Empty environment — no people and no product in frame — a clean commercial background plate suitable as a scene/style reference for later compositing a presenter and product. Natural depth, perspective, and lighting exactly as described. No rendered text, captions, headlines, logos-as-text, price tags, watermark, sticker, or UI chrome — a clean plate only.",TRUE,kitchen|modern|home|indoor
